flow_id,packet_count,duration,avg_length,packets_per_second,bytes_per_second,syn_count,ack_count,http_request_count,raw_prediction,prediction,confidence
571606423,12,4.355,65.833,2.755,181.39,2,2,0,Probe,Probe,100.0
909373326,21,1.954,79.19,10.749,851.238,3,4,0,Probe,Probe,100.0
867665363,139,1.963,579.331,70.797,41014.893,0,0,0,Probe,Probe,100.0
217440375,7,0.045,1308.286,155.919,203987.081,0,6,0,Probe,Probe,99.9
45275359,125,0.471,648.176,265.164,171873.078,0,82,0,Probe,Probe,99.9
447011864,579,4.99,583.0,116.037,67649.554,0,0,0,Probe,Probe,99.8
799242030,2326,4.996,69.885,465.605,32538.922,1,1161,0,Probe,Probe,99.8
556539450,13,1.021,75.923,12.738,967.077,0,0,0,Probe,Probe,99.7
4079635,6,0.474,141.833,12.662,1795.825,0,0,0,Probe,Probe,99.7
840299711,10,0.225,113.3,44.372,5027.333,0,0,3,Probe,Probe,99.6
690591806,1755,4.997,68.595,351.237,24093.063,579,584,0,Probe,Probe,99.6
978494058,13,0.135,123.231,96.13,11846.221,0,0,2,Probe,Probe,99.3
403912239,1030,3.818,54.99,269.773,14834.883,0,1,0,Probe,Probe,99.2
11246467,10,0.305,615.9,32.734,20161.119,0,0,0,Probe,Probe,99.0
79009151,5,0.228,182.2,21.893,3988.878,0,0,0,Probe,Probe,99.0
235532727,12,0.262,765.583,45.718,35001.295,0,0,0,Probe,Probe,98.9
729636942,10,0.216,229.3,46.376,10634.104,0,0,7,Probe,Probe,98.8
498881045,10,2.757,82.0,3.627,297.414,0,0,0,Probe,Probe,97.3
762268022,6,0.469,82.0,12.783,1048.202,0,0,0,Probe,Probe,97.0
330242082,11,3.778,82.0,2.912,238.773,0,0,0,Probe,Probe,96.7
338761244,8,4.36,82.0,1.835,150.454,0,0,0,Probe,Probe,96.3
16924155,10,4.994,81.9,2.002,164.002,0,0,0,Probe,Probe,96.1
503035534,5,1.088,81.8,4.597,376.063,0,0,0,Probe,Probe,95.9
400678633,7,3.608,81.857,1.94,158.816,0,0,0,Probe,Probe,95.8
942323173,6,2.272,82.0,2.641,216.537,0,0,0,Probe,Probe,95.2
200317678,35,1.797,263.6,19.472,5132.873,0,0,32,Probe,Probe,94.5
193731251,5,4.019,81.6,1.244,101.512,0,0,0,Probe,Probe,93.9
666850283,35,1.785,710.857,19.611,13940.406,0,0,0,Probe,Probe,93.6
112427495,6,2.323,82.0,2.583,211.836,0,0,0,Probe,Probe,93.6
452820494,19,1.007,102.737,18.869,1938.55,0,0,0,Probe,Probe,92.3
325187686,13,0.368,259.615,35.331,9172.392,0,0,11,Probe,Probe,89.1
489910333,29,2.457,162.655,11.802,1919.659,0,0,0,Probe,Benign,60.0
821560953,29,2.389,173.414,12.14,2105.202,0,0,0,Probe,Benign,56.8
